date,EM,RTWQ,IPO,PWO,DC,RMWMO,CCE,MM,EF,ECo,HM,EI,ESubC,RDWO,EH,ESupC,MF,PF,PM,RCWP,EC
2014-10-31,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,3,3,0
2014-11-03,3,3,3,3,3,3,3,4,0,0,0,4,4,4,4,4,4,4,4,4,0
2014-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-08,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0
2014-11-24,37,31,31,31,31,37,31,36,0,0,0,30,30,30,30,30,30,30,30,36,0
2014-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,63,55,55,55,55,62,55,54,1,1,1,46,46,46,46,46,46,46,46,53,0
2014-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-15,115,102,102,102,102,113,102,111,2,2,2,98,98,98,98,98,98,98,98,109,0
2014-12-18,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,4,0
2014-12-28,169,150,150,150,150,166,150,160,2,2,2,142,142,142,142,142,142,142,142,158,1
2015-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,15,13,13,13,13,14,13,14,1,1,1,12,12,12,12,12,12,12,12,13,0
2015-01-17,0,0,0,0,0,0,0,6,0,0,0,6,6,6,6,6,6,6,6,6,0
2015-01-19,160,144,144,144,144,158,144,158,1,1,1,143,143,143,143,143,143,143,143,157,1
2015-01-22,248,230,230,230,230,246,230,221,1,1,1,204,204,204,204,204,204,204,204,220,1
2015-01-29,248,230,230,230,230,247,230,228,0,0,0,211,211,211,211,211,211,211,211,228,1
2015-02-05,229,209,209,209,209,227,209,196,0,0,0,178,178,178,178,178,178,178,178,196,2
2015-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,229,209,209,209,209,227,209,196,0,0,0,178,178,178,178,178,178,178,178,196,2
2015-02-08,235,214,214,214,214,232,214,200,1,1,1,181,181,181,181,181,181,181,181,199,2
2015-02-12,209,192,192,192,192,206,192,171,1,1,1,156,156,156,156,156,156,156,156,170,2
2015-02-13,204,187,187,187,187,200,187,167,2,2,2,152,152,152,152,152,152,152,152,165,2
2015-02-18,307,283,283,283,283,300,283,240,5,5,5,218,218,218,218,218,218,218,218,235,2
2015-02-23,23,20,20,20,20,23,20,24,0,0,0,21,21,21,21,21,21,21,21,24,0
2015-02-25,321,294,294,294,294,313,294,241,7,7,7,215,215,215,215,215,215,215,215,234,1
2015-03-12,373,342,342,342,342,363,342,279,8,8,8,250,250,250,250,250,250,250,250,271,2
2015-03-14,375,344,344,344,344,365,344,286,8,8,8,257,257,257,257,257,257,257,257,278,2
2015-03-19,25,24,24,24,24,25,24,22,0,0,0,21,21,21,21,21,21,21,21,22,0
2015-03-20,147,140,140,140,140,145,140,119,1,1,1,113,113,113,113,113,113,113,113,118,1
2015-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,538,498,498,498,498,526,498,384,9,9,9,347,347,347,347,347,347,347,347,375,3
2015-04-14,88,86,86,86,86,88,86,69,0,0,0,67,67,67,67,67,67,67,67,69,0
2015-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,481,440,440,440,440,469,440,337,9,9,9,299,299,299,299,299,299,299,299,328,3
2015-04-22,192,171,171,171,171,184,171,136,7,7,7,116,116,116,116,116,116,116,116,129,1
2015-04-23,502,457,457,457,457,489,457,350,9,9,9,309,309,309,309,309,309,309,309,341,4
2015-04-25,21,17,17,17,17,19,17,14,1,1,1,11,11,11,11,11,11,11,11,13,1
2015-04-26,504,458,458,458,458,490,458,347,10,10,10,305,305,305,305,305,305,305,305,337,4
2015-04-27,507,460,460,460,460,493,460,352,10,10,10,309,309,309,309,309,309,309,309,342,4
2015-04-28,91,82,82,82,82,85,82,59,5,5,5,51,51,51,51,51,51,51,51,54,1
2015-04-30,20,17,17,17,17,18,17,12,1,1,1,10,10,10,10,10,10,10,10,11,1
2015-05-11,568,514,514,514,514,553,514,413,11,11,11,363,363,363,363,363,363,363,363,402,4
2015-05-13,556,504,504,504,504,542,504,405,11,11,11,356,356,356,356,356,356,356,356,394,3
2015-05-18,566,514,514,514,514,552,514,414,11,11,11,365,365,365,365,365,365,365,365,403,3
2015-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,10,10,10,10,10,10,10,8,0,0,0,8,8,8,8,8,8,8,8,8,0
2015-05-26,10,10,10,10,10,10,10,8,0,0,0,8,8,8,8,8,8,8,8,8,0
2015-05-27,805,728,728,728,728,787,728,591,10,10,10,522,522,522,522,522,522,522,522,581,8
2015-05-28,227,203,203,203,203,219,203,167,7,7,7,144,144,144,144,144,144,144,144,160,1
2015-05-29,7,6,6,6,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,0
2015-05-31,53,49,49,49,49,50,49,31,3,3,3,27,27,27,27,27,27,27,27,28,0
2015-06-01,46,42,42,42,42,43,42,28,3,3,3,24,24,24,24,24,24,24,24,25,0
2015-06-10,14,10,10,10,10,14,10,13,0,0,0,9,9,9,9,9,9,9,9,13,0
