date,enhancement,bug,churn,gc,bc,dc,bm,lm
2015-12-19,0.0,0.0,2736.0,4.0,0.0,0.0,0.0,0.0
2015-12-30,821.0,0.0,80835.0,33.0,0.0,0.0,0.0,0.0
2016-01-04,0.0,0.0,64743.0,25.0,0.0,0.0,0.0,0.0
2016-01-06,0.0,0.0,1444.0,1.0,0.0,0.0,0.0,0.0
2016-01-09,32.0,0.0,998.0,1.0,0.0,0.0,0.0,0.0
2016-01-10,20.0,0.0,1589.0,1.0,0.0,0.0,0.0,0.0
2016-01-11,16.0,0.0,1166.0,1.0,0.0,0.0,0.0,0.0
2016-01-14,0.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,198.0,0.0,18363.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,34.0,17.0,14650.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,389.0,0.0,35674.0,17.0,0.0,0.0,0.0,0.0
2016-01-20,2.0,0.0,1681.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,0.0,1.0,445.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2.0,0.0,3330.0,7.0,0.0,0.0,0.0,0.0
2016-01-31,510.0,0.0,14571.0,7.0,0.0,0.0,0.0,0.0
2016-02-05,0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,472.0,0.0,10395.0,3.0,0.0,0.0,0.0,0.0
2016-02-12,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,231.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,495.0,0.0,54693.0,24.0,0.0,0.0,0.0,0.0
2016-03-03,701.0,0.0,46266.0,11.0,0.0,0.0,0.0,0.0
2016-03-08,0.0,285.0,10370.0,5.0,0.0,0.0,0.0,0.0
2016-03-10,14.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,3.0,0.0,8543.0,3.0,0.0,0.0,0.0,0.0
2016-03-16,0.0,0.0,289.0,1.0,0.0,0.0,0.0,0.0
2016-03-26,708.0,0.0,41202.0,18.0,0.0,0.0,0.0,0.0
2016-03-29,0.0,345.0,933.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,577.0,960.0,0.0,0.0,0.0,0.0,0.0
2016-04-03,613.0,0.0,41166.0,18.0,0.0,0.0,0.0,0.0
2016-04-06,0.0,500.0,924.0,0.0,0.0,0.0,0.0,0.0
2016-04-15,361.0,0.0,53951.0,30.0,0.0,0.0,0.0,0.0
2016-04-23,0.0,96.0,16457.0,0.0,0.0,0.0,0.0,0.0
2016-04-29,0.0,0.0,31028.0,5.0,0.0,0.0,0.0,0.0
2016-05-06,179.0,0.0,11227.0,5.0,0.0,0.0,0.0,0.0
2016-05-07,0.0,0.0,1673.0,2.0,0.0,0.0,0.0,0.0
2016-05-11,0.0,67.0,3244.0,0.0,0.0,0.0,0.0,0.0
2016-05-12,0.0,22.0,3244.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,7.0,0.0,3617.0,0.0,0.0,0.0,0.0,0.0
2016-05-15,3.0,7.0,941.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,0.0,0.0,22197.0,24.0,0.0,0.0,0.0,0.0
2016-05-18,113.0,0.0,2220.0,9.0,0.0,0.0,0.0,0.0
2016-05-20,220.0,0.0,10172.0,12.0,0.0,0.0,0.0,0.0
2016-05-21,265.0,1.0,11388.0,14.0,0.0,0.0,0.0,0.0
2016-05-22,39.0,0.0,2772.0,3.0,0.0,0.0,0.0,0.0
2016-05-23,8.0,0.0,4562.0,2.0,0.0,0.0,0.0,0.0
2016-05-24,0.0,0.0,20311.0,13.0,0.0,0.0,0.0,0.0
2016-05-25,2.0,0.0,2362.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0
2016-05-28,0.0,0.0,10269.0,10.0,0.0,0.0,0.0,0.0
2016-05-29,143.0,2.0,9643.0,10.0,0.0,0.0,0.0,0.0
2016-06-02,33.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0
2016-06-04,0.0,204.0,3573.0,1.0,0.0,0.0,0.0,0.0
2016-06-06,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0
2016-06-08,144.0,0.0,1896.0,0.0,0.0,0.0,0.0,0.0
2016-06-09,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0
2016-06-10,7.0,0.0,1340.0,0.0,0.0,0.0,0.0,0.0
2016-06-11,3.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0
2016-06-12,1.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0
2016-06-18,1.0,0.0,30208.0,4.0,0.0,0.0,0.0,0.0
2016-06-19,0.0,1.0,19815.0,5.0,0.0,0.0,0.0,0.0
2016-06-20,0.0,0.0,37159.0,6.0,0.0,0.0,0.0,0.0
2016-06-21,72.0,1.0,1849.0,2.0,0.0,0.0,0.0,0.0
2016-06-22,2.0,0.0,3688.0,1.0,0.0,0.0,0.0,0.0
2016-06-23,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0
2016-06-24,0.0,0.0,5884.0,0.0,0.0,0.0,0.0,0.0
2016-06-25,0.0,1.0,5408.0,0.0,0.0,0.0,0.0,0.0
2016-06-26,0.0,0.0,4266.0,0.0,0.0,0.0,0.0,0.0
2016-06-27,1.0,0.0,1553.0,0.0,0.0,0.0,0.0,0.0
2016-06-28,0.0,9.0,513.0,0.0,0.0,0.0,0.0,0.0
2016-07-03,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0
2016-07-04,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0
2016-07-06,232.0,0.0,2957.0,0.0,0.0,0.0,0.0,0.0
2016-07-09,0.0,8.0,60.0,0.0,0.0,0.0,0.0,0.0
2016-07-10,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-11,888.0,0.0,2664.0,0.0,0.0,0.0,0.0,0.0
2016-07-13,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2016-07-14,105.0,6.0,2580.0,0.0,0.0,0.0,0.0,0.0
2016-07-15,0.0,73.0,4152.0,14.0,0.0,0.0,0.0,0.0
2016-07-16,141.0,0.0,2223.0,0.0,0.0,0.0,0.0,0.0
2016-07-17,0.0,32.0,488.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,65.0,0.0,1937.0,0.0,0.0,0.0,0.0,0.0
2016-07-20,39.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0
2016-07-21,10.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0
2016-07-23,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2016-07-24,217.0,17.0,2528.0,14.0,0.0,0.0,0.0,0.0
2016-07-26,36.0,0.0,727.0,8.0,0.0,0.0,0.0,0.0
2016-07-27,0.0,0.0,703.0,7.0,0.0,0.0,0.0,0.0
2016-07-30,398.0,0.0,870.0,6.0,0.0,0.0,0.0,0.0
2016-08-04,734.0,0.0,8574.0,32.0,0.0,0.0,0.0,0.0
2016-08-05,545.0,0.0,5479.0,16.0,0.0,0.0,0.0,0.0
2016-08-07,385.0,1.0,5645.0,18.0,0.0,0.0,0.0,0.0
2016-08-09,274.0,0.0,889.0,4.0,0.0,0.0,0.0,0.0
2016-08-12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2016-08-15,1.0,0.0,284.0,4.0,0.0,0.0,0.0,0.0
2016-08-16,0.0,24.0,954.0,0.0,0.0,0.0,0.0,0.0
2016-08-17,37.0,0.0,2062.0,2.0,0.0,0.0,0.0,0.0
2016-08-19,189.0,0.0,896.0,1.0,0.0,0.0,0.0,0.0
2016-08-23,125.0,0.0,1700.0,6.0,0.0,0.0,0.0,0.0
2016-08-25,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0
2016-08-27,2.0,0.0,173.0,1.0,0.0,0.0,0.0,0.0
2016-08-28,73.0,0.0,1299.0,5.0,0.0,0.0,0.0,0.0
2016-08-29,0.0,0.0,773.0,4.0,0.0,0.0,0.0,0.0
2016-08-30,0.0,0.0,147.0,2.0,0.0,0.0,0.0,0.0
2016-09-06,0.0,9.0,135.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,9.0,0.0,397.0,2.0,0.0,0.0,0.0,0.0
2016-09-15,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2016-09-17,128.0,581.0,2982.0,12.0,0.0,0.0,0.0,0.0
2016-09-19,185.0,696.0,5143.0,12.0,0.0,0.0,0.0,0.0
2016-09-20,138.0,0.0,2101.0,12.0,0.0,0.0,0.0,0.0
2016-09-21,489.0,0.0,2982.0,12.0,0.0,0.0,0.0,0.0
2016-09-23,916.0,0.0,23679.0,28.0,0.0,0.0,0.0,0.0
2016-09-24,579.0,0.0,5143.0,12.0,0.0,0.0,0.0,0.0
2016-09-29,0.0,310.0,2354.0,10.0,0.0,0.0,0.0,0.0
2016-10-02,39.0,146.0,1525.0,10.0,0.0,0.0,0.0,0.0
2016-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-06,37.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2016-10-08,0.0,623.0,10732.0,4.0,0.0,0.0,0.0,0.0
2016-10-10,0.0,0.0,2990.0,0.0,0.0,0.0,0.0,0.0
2016-10-13,355.0,0.0,9848.0,4.0,0.0,0.0,0.0,0.0
2016-10-23,576.0,0.0,14446.0,7.0,0.0,0.0,0.0,0.0
2016-10-24,838.0,0.0,21096.0,20.0,0.0,0.0,0.0,0.0
2016-10-28,60.0,0.0,4630.0,2.0,0.0,0.0,0.0,0.0
2016-11-01,13.0,0.0,4630.0,2.0,0.0,0.0,0.0,0.0
2016-11-02,260.0,24.0,7455.0,4.0,0.0,0.0,0.0,0.0
2016-11-03,0.0,0.0,172.0,1.0,0.0,0.0,0.0,0.0
2016-11-04,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0
2016-11-05,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0
2016-11-06,44.0,0.0,2761.0,1.0,0.0,0.0,0.0,0.0
2016-11-07,55.0,0.0,2580.0,1.0,0.0,0.0,0.0,0.0
2016-11-08,0.0,0.0,2697.0,1.0,0.0,0.0,0.0,0.0
2016-11-12,0.0,30.0,117.0,0.0,0.0,0.0,0.0,0.0
2016-11-17,13.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0
2016-11-19,137.0,0.0,1298.0,0.0,0.0,0.0,0.0,0.0
2016-11-23,901.0,0.0,8843.0,10.0,0.0,0.0,0.0,0.0
2016-12-01,771.0,0.0,4966.0,10.0,0.0,0.0,0.0,0.0
2016-12-02,0.0,18.0,396.0,0.0,0.0,0.0,0.0,0.0
2016-12-06,79.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0
2016-12-07,19.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0
2016-12-08,112.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2016-12-09,0.0,134.0,513.0,0.0,0.0,0.0,0.0,0.0
2016-12-10,13.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0
2016-12-11,304.0,7.0,885.0,1.0,0.0,0.0,0.0,0.0
2016-12-12,4.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
2016-12-13,0.0,56.0,466.0,1.0,0.0,0.0,0.0,0.0
2016-12-18,0.0,0.0,452.0,1.0,0.0,0.0,0.0,0.0
2016-12-26,202.0,0.0,1748.0,9.0,0.0,0.0,0.0,0.0
2016-12-28,666.0,0.0,6019.0,12.0,0.0,0.0,0.0,0.0
2017-01-02,4.0,331.0,3907.0,9.0,0.0,0.0,0.0,0.0
2017-01-11,0.0,0.0,3379.0,2.0,0.0,0.0,0.0,0.0
2017-01-19,0.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0
2017-01-21,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-25,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,92.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-18,0.0,18.0,442.0,0.0,0.0,0.0,0.0,0.0
2017-02-19,18.0,0.0,814.0,1.0,0.0,0.0,0.0,0.0
2017-02-21,0.0,72.0,4327.0,4.0,0.0,0.0,0.0,0.0
2017-02-23,1.0,0.0,462.0,1.0,0.0,0.0,0.0,0.0
2017-02-24,17.0,0.0,3788.0,3.0,0.0,0.0,0.0,0.0
2017-02-25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
