date,enhancement,bug,churn,gc,bc,dc,bm,lm
2013-11-17,30.0,10.0,1553.0,0.0,0.0,0.0,0.0,0.0
2013-11-18,0.0,14.0,1476.0,0.0,0.0,0.0,0.0,0.0
2013-11-19,0.0,7.0,1116.0,0.0,0.0,0.0,0.0,0.0
2013-11-23,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0
2013-11-27,0.0,14.0,1213.0,2.0,0.0,0.0,0.0,0.0
2013-12-02,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
2013-12-04,16.0,10.0,157.0,0.0,0.0,0.0,0.0,0.0
2013-12-09,21.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
2013-12-10,90.0,0.0,303.0,1.0,0.0,0.0,0.0,0.0
2013-12-16,0.0,9.0,1495.0,0.0,0.0,0.0,0.0,0.0
2013-12-19,0.0,0.0,7686.0,0.0,0.0,0.0,0.0,0.0
2013-12-24,20.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0
2014-01-05,0.0,24.0,2041.0,1.0,0.0,0.0,0.0,0.0
2014-01-07,18.0,0.0,2990.0,4.0,0.0,0.0,0.0,0.0
2014-01-09,2.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,2.0,0.0,599.0,1.0,0.0,0.0,0.0,0.0
2014-01-12,0.0,42.0,737.0,1.0,0.0,0.0,0.0,0.0
2014-01-14,21.0,15.0,4442.0,2.0,0.0,0.0,0.0,0.0
2014-01-15,0.0,0.0,4049.0,1.0,0.0,0.0,0.0,0.0
2014-01-16,0.0,5.0,346.0,0.0,0.0,0.0,0.0,0.0
2014-01-17,3.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0
2014-01-19,45.0,0.0,2423.0,6.0,0.0,0.0,0.0,0.0
2014-01-21,0.0,0.0,1730.0,6.0,0.0,0.0,0.0,0.0
2014-01-23,0.0,0.0,274.0,1.0,0.0,0.0,0.0,0.0
2014-01-27,0.0,14.0,1441.0,5.0,0.0,0.0,0.0,0.0
2014-01-29,0.0,9.0,1837.0,4.0,0.0,0.0,0.0,0.0
2014-02-03,0.0,0.0,4407.0,5.0,0.0,0.0,0.0,0.0
2014-02-15,50.0,0.0,987.0,3.0,0.0,0.0,0.0,0.0
2014-02-17,7.0,1.0,459.0,1.0,0.0,0.0,0.0,0.0
2014-02-19,12.0,5.0,202.0,0.0,0.0,0.0,0.0,0.0
2014-02-20,25.0,0.0,623.0,1.0,0.0,0.0,0.0,0.0
2014-02-22,39.0,29.0,1008.0,0.0,0.0,0.0,0.0,0.0
2014-02-23,0.0,48.0,1008.0,0.0,0.0,0.0,0.0,0.0
2014-02-25,3.0,10.0,54.0,1.0,0.0,0.0,0.0,0.0
2014-02-26,13.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0
2014-02-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,40.0,0.0,1257.0,2.0,0.0,0.0,0.0,0.0
2014-03-03,5.0,0.0,2365.0,2.0,0.0,0.0,0.0,0.0
2014-03-04,12.0,69.0,1400.0,0.0,0.0,0.0,0.0,0.0
