date,enhancement,bug,churn,gc,bc,dc,bm,lm
2013-02-13,0.0,950.0,0.8339301344791915,1,0,0,0,0
2013-02-14,0.0,0.0,6.671441075833532,1,0,0,0,0
2013-02-17,0.0,0.0,6.671441075833532,1,0,0,0,0
2013-02-20,0.0,0.0,91.31534972547148,1,0,0,0,0
2013-02-27,0.0,13.0,37.52685605156362,0,0,0,0,0
2013-03-01,0.0,1.0,47.117052598074324,0,0,0,0,0
2013-03-06,0.0,1.0,0.0,0,0,0,0,0
2013-03-07,0.0,0.0,0.0,0,0,0,0,0
2013-03-08,0.0,301.0,4.169650672395957,0,0,0,0,0
2013-03-11,0.0,0.0,0.0,0,0,0,0,0
2013-03-12,0.0,0.0,4.169650672395957,0,0,0,0,0
2013-03-13,0.0,0.0,4.169650672395957,0,0,0,0,0
2013-03-14,202.0,0.0,1277.5809660221214,1,0,0,0,0
2013-03-16,0.0,28.0,1009.4724277870614,1,0,0,0,0
2013-03-18,0.0,16.0,60.87689981698098,1,0,0,0,0
2013-03-19,0.0,697.0,4634.983687435347,1,0,0,0,0
2013-03-21,0.0,0.0,101.73947640646136,0,0,0,0,0
2013-03-22,0.0,0.0,749.2862258295536,1,0,0,0,0
2013-03-23,0.0,0.0,40.86257658948038,0,0,0,0,0
2013-03-24,0.0,440.0,4716.7088406143075,1,0,0,0,0
2013-03-29,0.0,8.0,33.774170446407254,0,0,0,0,0
2013-03-31,50.0,0.0,3632.1827007241186,1,0,0,0,0
2013-04-01,0.0,0.0,3632.1827007241186,1,0,0,0,0
2013-04-22,351.0,0.0,5578.992599665791,1,0,0,0,0
2013-05-25,0.0,0.0,0.0,0,0,0,0,0
2013-05-27,551.0,0.0,991.5429298957588,1,0,0,0,0
2013-06-06,0.0,0.0,28.353624572292514,0,0,0,0,0
2013-06-07,0.0,0.0,8.339301344791915,1,0,0,0,0
2013-06-08,0.0,0.0,954.8500039786743,1,0,0,0,0
2013-06-24,0.0,0.0,221.40845070422534,1,0,0,0,0
2013-06-25,707.0,0.0,481.17768759449353,1,0,0,0,0
2013-06-27,0.0,0.0,0.0,0,0,0,0,0
2013-06-30,33.0,0.0,12.508952017187873,0,0,0,0,0
2013-07-06,0.0,0.0,0.0,0,0,0,0,0
2013-08-01,0.0,0.0,4.169650672395957,0,0,0,0,0
2013-08-07,0.0,0.0,1.667860268958383,0,0,0,0,0
2013-08-31,48.0,0.0,97.5698257340654,0,0,0,0,0
2013-09-02,0.0,9.0,97.5698257340654,0,0,0,0,0
2013-09-05,49.0,0.0,0.0,0,0,0,0,0
2013-09-08,6692.0,0.0,6457.954961406859,1,0,0,0,0
2013-10-06,0.0,0.0,65.04655048937694,1,0,0,0,0
2013-10-07,25.0,0.0,33.35720537916766,1,0,0,0,0
2013-10-24,0.0,7146.0,6313.2680830747195,1,0,0,0,0
2013-12-03,422.0,0.0,11.675021882708682,1,0,0,0,0
2013-12-19,0.0,0.0,0.0,0,0,0,0,0
2013-12-20,0.0,39.0,11.675021882708682,1,0,0,0,0
2013-12-21,0.0,0.0,11.675021882708682,1,0,0,0,0
2013-12-23,0.0,0.0,371.9328399777194,0,0,0,0,0
2013-12-25,0.0,0.0,0.0,0,0,0,0,0
2013-12-26,0.0,0.0,0.0,0,0,0,0,0
2013-12-27,0.0,0.0,0.0,0,0,0,0,0
2014-01-01,0.0,0.0,0.0,0,0,0,0,0
2014-01-04,0.0,0.0,0.0,0,0,0,0,0
2014-01-05,7016.0,0.0,10480.0,1,0,0,0,0
2014-01-07,0.0,0.0,0.0,0,0,0,0,0
2014-01-11,0.0,21.0,769.7175141242938,0,0,0,0,0
2014-01-12,0.0,0.0,670.47982812127,0,0,0,0,0
2014-01-13,0.0,0.0,21.68218349645898,0,0,0,0,0
2014-01-15,95.0,0.0,151.77528447521286,0,0,0,0,0
2014-01-19,0.0,0.0,51.70366833770988,0,0,0,0,0
2014-01-20,0.0,0.0,94.65107026338823,0,0,0,0,0
2014-01-23,0.0,0.0,32.106310177448876,0,0,0,0,0
2014-01-28,0.0,2.0,0.0,0,0,0,0,0
2014-01-29,0.0,0.0,16.67860268958383,0,0,0,0,0
2014-01-30,0.0,0.0,16.67860268958383,0,0,0,0,0
2014-02-05,0.0,0.0,0.0,0,0,0,0,0
2014-02-11,0.0,0.0,28.353624572292514,0,0,0,0,0
2014-02-12,0.0,0.0,1177.5093498846184,0,0,0,0,0
2014-03-12,0.0,63.0,225.9950664438609,0,0,0,0,0
2014-03-13,15.0,0.0,225.9950664438609,0,0,0,0,0
2014-03-15,66.0,0.0,193.47179119917243,0,0,0,0,0
2014-03-17,2.0,0.0,138.8493673907854,0,0,0,0,0
2014-03-18,4.0,5.0,28.353624572292514,1,0,0,0,0
2014-03-23,0.0,40.0,37.109890984324025,1,0,0,0,0
2014-04-05,0.0,0.0,9.173231479271108,0,0,0,0,0
